slug,surface,file,severity,message
"/arrested-what-to-do","static-page","app/arrested-what-to-do/page.tsx","warn","/arrested-what-to-do: cites pace-s58 but no official gov.uk/legislation link in content"
"/arrested-what-to-do","static-page","app/arrested-what-to-do/page.tsx","warn","/arrested-what-to-do: cites pace-s58 but no official gov.uk/legislation link in content"
"/article-interview-under-caution","static-page","app/article-interview-under-caution/page.tsx","warn","/article-interview-under-caution: cites pace-s58 but no official gov.uk/legislation link in content"
"/article-police-caution-before-interview","static-page","app/article-police-caution-before-interview/page.tsx","warn","/article-police-caution-before-interview: cites pace-s78 but no official gov.uk/legislation link in content"
"/article-police-caution-before-interview","static-page","app/article-police-caution-before-interview/page.tsx","warn","/article-police-caution-before-interview: case ""R v Argent"" should link to official guidance"
"/article-police-caution-before-interview","static-page","app/article-police-caution-before-interview/page.tsx","warn","/article-police-caution-before-interview: case ""R v Samuel"" should link to official guidance"
"/article-police-caution-before-interview","static-page","app/article-police-caution-before-interview/page.tsx","warn","/article-police-caution-before-interview: case ""R v Roble"" should link to official guidance"
"/article-police-caution-before-interview","static-page","app/article-police-caution-before-interview/page.tsx","warn","/article-police-caution-before-interview: case ""R v Betts"" should link to official guidance"
"/article-police-caution-before-interview","static-page","app/article-police-caution-before-interview/page.tsx","warn","/article-police-caution-before-interview: case ""R v Chandler"" should link to official guidance"
"/emergency-police-station-representation","static-page","app/emergency-police-station-representation/page.tsx","warn","/emergency-police-station-representation: cites pace-s58 but no official gov.uk/legislation link in content"
"/emergency-police-station-representation","static-page","app/emergency-police-station-representation/page.tsx","warn","/emergency-police-station-representation: cites pace-s58 but no official gov.uk/legislation link in content"
"/emergency-police-station-representation","static-page","app/emergency-police-station-representation/page.tsx","warn","/emergency-police-station-representation: cites pace-s58 but no official gov.uk/legislation link in content"
"/emergency-police-station-representation","static-page","app/emergency-police-station-representation/page.tsx","warn","/emergency-police-station-representation: case ""R v Samuel"" should link to official guidance"
"/free-police-station-advice-kent","static-page","app/free-police-station-advice-kent/page.tsx","warn","/free-police-station-advice-kent: cites pace-s58 but no official gov.uk/legislation link in content"
"/police-custody-rights","static-page","app/police-custody-rights/page.tsx","warn","/police-custody-rights: case ""R v Argent"" should link to official guidance"
"/police-interview-rights","static-page","app/police-interview-rights/page.tsx","warn","/police-interview-rights: case ""R v Argent"" should link to official guidance"
"/police-interview-rights","static-page","app/police-interview-rights/page.tsx","warn","/police-interview-rights: case ""R v Roble"" should link to official guidance"
"/police-interview-rights","static-page","app/police-interview-rights/page.tsx","warn","/police-interview-rights: case ""R v Betts"" should link to official guidance"
"/police-station-agent-kent","static-page","app/police-station-agent-kent/page.tsx","warn","/police-station-agent-kent: cites pace-s58 but no official gov.uk/legislation link in content"
"/what-happens-if-ignore-police-interview","static-page","app/what-happens-if-ignore-police-interview/page.tsx","warn","/what-happens-if-ignore-police-interview: case ""R v Argent"" should link to official guidance"
"/what-to-expect-at-a-police-interview-in-kent","static-page","app/what-to-expect-at-a-police-interview-in-kent/page.tsx","warn","/what-to-expect-at-a-police-interview-in-kent: cites pace-s58 but no official gov.uk/legislation link in content"